Aggiudicatari;Importi;Categorie
242;744;33
388;32096;4
384;23000;15
378;22542;12
382;24456;45
382;91200;20
4;15409;31
250;20000;47
65;120000;32
536;9000;10
54;1492;26
383;17350;27
264;2455;31
82;5911;13
271;4100;45
257;8803;26
537;3300;9
145;43715;21
386;70541;30
519;272;39
538;407898;14
45;7041;28
368;2500;28
367;264480;14
145;26378;41
104;515184;6
24;505961;18
141;56061;20
129;34223;3
380;7700000;12
379;140340;7
171;72153;31
378;27276;12
70;110000;39
377;16636;11
376;121752;37
54;9999;30
94;323902;8
40;16393;10
375;3280;1
50;1121;34
79;52459;39
50;1705;40
315;5000;24
387;124652;33
151;3000;32
389;2665;20
384;4200;24
250;15456;12
390;15840;12
145;6553;47
52;18150;30
89;3750;17
263;38303;12
58;10;18
92;1744;17
29;40826;44
4;371596;24
20;264;31
20;176;2
20;96;42
395;66990;2
20;176;24
20;528;37
316;4687;40
326;1280;17
30;8059;9
397;68852;9
67;160678;4
67;234899;28
399;3000;3
400;19500;44
107;500;23
401;0;17
161;1640;41
60;1639;34
59;3497;29
58;7320;41
123;1703935;27
272;3240;16
65;3900;41
55;4455;14
19;3000;24
53;8197;45
539;23609;1
300;151000;11
540;2990;29
271;123252;47
541;14950;12
45;7570;42
270;3785;16
96;6240;30
34;8000;42
52;62535;10
273;36500;7
244;31500;2
377;6800;44
33;2570;29
267;5736;36
32;627449;25
37;5500;13
370;44578;7
151;539;42
257;12648;35
31;6967;31
318;21347;48
416;15370;2
115;3100;20
115;7282;8
318;7587;25
392;17700;11
542;11993;15
17;2929;10
102;1195;22
543;793;26
89;4500;39
544;2646;10
445;1570;38
410;1800;10
92;1472;21
1;6537;17
393;288;31
545;400;22
251;600;7
546;800;46
547;89;34
548;5715;4
65;1098;14
549;5746;25
69;2207;32
147;35624;32
511;900;24
196;1000;43
195;1800;9
550;17100;43
551;900;33
552;900;12
553;900;9
65;900;46
554;2997;10
555;900;10
556;900;4
557;900;14
558;2840;27
133;737;3
82;197400;37
76;197000;33
134;197000;23
82;185000;10
79;197000;21
76;199000;42
133;197000;7
158;197400;32
83;9800;29
132;198000;8
559;197200;15
318;11829;7
560;13408;29
561;1085;31
124;1347;23
147;9709;14
49;3810;8
416;195;43
242;1500;10
561;7566;28
318;9950;22
562;15216;23
65;899;41
259;28276;25
100;7600;42
291;16704;22
563;12854;7
52;1198;44
564;3750;4
377;811;33
565;1950;20
566;32500;14
157;838;1
65;2838;2
567;56430;20
416;1177;24
318;2100;11
151;12306;41
145;39000;39
291;100044;11
148;462403;21
74;20000;37
364;6564;12
65;9900;34
506;12342;14
568;35000;13
372;9500;37
291;3660;34
318;116929;36
567;12887;24
569;1177;26
60;397;22
346;748;18
457;47349;9
570;1990;16
147;65880;32
318;2700;27
66;15115;31
90;18150;18
569;7000;15
571;1137;32
572;700;21
411;11500;47
425;6012;1
172;47179;42
573;960;14
416;11208;31
574;1500;34
20;11573;14
52;235;17
235;24334;27
575;47680;42
317;602;1
576;1834;4
577;532194;8
525;37791;21
412;48505;39
318;299;4
578;5944;30
503;81738;31
166;89300;24
533;98900;31
157;37867;17
158;19240;39
179;15000;45
418;549;39
102;13350;47
249;610;30
147;666;6
448;1500;13
254;120000;46
100;6558;26
579;6000;48
318;4484;48
396;3034;24
324;5573770;13
416;5000;32
379;2575;18
580;425359;1
100;3968;23
21;1140;31
151;39800;39
246;5150;24
416;120000;19
581;2230;35
582;425400;40
583;2293;10
147;1286;6
584;5800;18
100;13100;23
511;3500;44
585;5460;9
65;500;21
29;3330;32
52;5537;43
423;8800;31
586;1250;12
513;27405;28
89;7279;32
92;2953;20
20;2496;35
20;236;15
587;176;17
588;9148;5
558;38700;24
537;476;6
233;1698;5
354;42822;37
589;22752;42
589;271;35
480;644;4
590;127896;46
575;18724;20
395;3975;38
591;98000;2
52;176040;33
145;12375;24
52;8742;12
448;1646;16
379;5000;12
592;38282;20
151;290;6
593;9500;9
594;5227;40
151;9350;9
100;568;39
595;37832;16
596;1600;37
139;15735;13
100;1000;13
148;4000;27
457;900;33
589;1840;36
45;1142;13
513;400;7
139;3050;42
567;19756;16
147;805;25
511;1800;20
100;1320;5
465;3000;48
589;1575;33
102;1152;16
20;1647;22
92;184;23
150;17800;7
139;2080434;3
62;854;29
558;996;40
597;1476;42
153;1453;37
598;857;18
599;30793;13
509;40612;12
600;68028;47
601;79514;9
567;82486;36
20;805;2
602;184;11
580;10000;17
603;138360;18
124;10065;37
65;10899;23
136;442;10
151;2954;35
418;4098;9
